Timestamp            X          Y          Depth     
============================================================
1717690057.7781818   265        916        0         
1717690057.921629    266        915        0         
1717690058.056986    266        914        0         
1717690058.19229     266        913        0         
1717690058.330466    266        911        0         
1717690058.469429    266        912        0         
1717690058.607094    266        910        0         
1717690058.7444649   266        909        0         
1717690058.883629    265        909        0         
1717690059.018548    265        909        0         
1717690059.150822    265        910        0         
1717690059.2864158   265        910        0         
1717690059.423991    265        910        0         
1717690059.561553    266        910        0         
1717690059.6997492   265        909        0         
1717690059.8369439   266        909        0         
1717690059.975828    267        909        0         
1717690060.109833    267        909        0         
1717690060.2441988   267        908        0         
1717690060.3826811   268        908        0         
1717690060.522172    268        908        0         
1717690060.6608582   268        907        0         
1717690060.800748    269        908        0         
1717690060.938692    269        907        0         
1717690061.451273    5          5          0         
