Timestamp,X,Y,Depth
1717690313.7978828,265,921,0
1717690313.9390678,266,921,0
1717690314.069071,265,918,0
1717690314.200269,265,917,0
1717690314.3386781,265,917,0
1717690314.471276,266,917,0
1717690314.603009,266,915,0
1717690314.736394,266,915,0
1717690314.868267,265,915,0
1717690315.000332,265,914,0
1717690315.1264682,266,914,0
1717690315.256932,266,914,0
1717690315.390317,265,914,0
1717690315.522579,266,914,0
1717690315.655642,266,915,0
1717690315.7874858,267,915,0
1717690315.919952,268,914,0
1717690316.048655,268,914,0
1717690316.1755672,268,913,0
1717690316.308265,267,913,0
1717690316.442484,268,911,0
1717690316.5757282,268,911,0
1717690316.7090628,264,909,0
1717690316.842072,264,908,0
