Timestamp,X,Y,Depth
1717688022.591914,1440,1737,0
1717688023.1382358,1440,1737,0
1717688023.622963,1439,1737,0
1717688024.106009,1438,1733,0
1717688024.582422,1437,1733,0
1717688025.059486,1437,1732,0
1717688025.5283608,1436,1732,0
1717688025.991206,1435,1731,0
1717688026.4490602,1434,1730,0
1717688026.9119518,1434,1729,0
1717688027.364817,1432,1730,0
1717688027.8257642,1429,1730,0
1717688028.280156,1427,1731,0
1717688028.742495,1426,1730,0
1717688029.1865978,1426,1728,0
1717688029.650652,1426,1728,0
1717688030.112395,1427,1728,0
1717688030.567264,1429,1727,0
1717688031.0306969,1431,1726,0
1717688031.497683,1432,1725,0
1717688031.9824798,1433,1725,0
1717688032.458936,1432,1724,0
1717688032.9444852,1431,1723,0
1717688033.470057,1429,1718,0
1717688033.932359,1428,1718,0
1717688034.432139,1426,1716,0
1717688034.9453912,1424,1715,0
1717688035.561183,1420,1713,0
1717688036.027185,1420,1710,0
1717688036.5876858,1421,1708,0
1717688037.051829,1422,1706,0
1717688037.508606,1421,1705,0
1717688037.968694,1420,1704,0
1717688038.426723,1419,1703,0
1717688038.891812,1418,1702,0
1717688039.3453069,1417,1701,0
1717688039.82431,1416,1701,0
1717688040.2986538,1416,1699,0
1717688040.774275,1415,1699,0
1717688041.214428,1415,1697,0
1717688041.656841,1416,1695,0
1717688042.1001458,1416,1695,0
1717688042.539968,1414,1695,0
1717688042.9800441,1414,1694,0
1717688043.4238038,1413,1694,0
1717688043.8684878,1412,1694,0
1717688044.310972,1413,1694,0
1717688044.752161,1415,1692,0
1717688045.192571,1417,1690,0
1717688045.6350899,1419,1688,0
1717688046.0753222,1419,1686,0
1717688046.519572,1418,1686,0
1717688046.960945,1417,1686,0
1717688047.403899,1416,1686,0
1717688047.847651,1414,1686,0
1717688048.300575,1413,1686,0
1717688048.739923,1411,1683,0
1717688049.182498,1411,1682,0
1717688049.622902,1411,1681,0
1717688050.0616949,1410,1679,0
1717688050.501662,1410,1679,0
1717688050.941658,1409,1679,0
1717688051.3814132,1408,1679,0
1717688051.831993,1406,1680,0
1717688052.269015,1403,1680,0
1717688052.708344,1402,1680,0
1717688053.1461592,1401,1680,0
1717688053.8069692,1398,1679,0
1717688054.2461498,1397,1679,0
1717688054.686893,1397,1679,0
1717688055.109015,1397,1678,0
1717688055.550451,1397,1678,0
1717688055.991148,1396,1678,0
1717688056.421493,1396,1678,0
1717688056.859126,1397,1678,0
1717688057.302708,1399,1677,0
1717688057.750428,1401,1676,0
1717688058.204513,1401,1676,0
1717688058.663832,1401,1676,0
1717688059.114558,1401,1676,0
1717688059.5747619,1401,1677,0
1717688060.0329118,1402,1676,0
1717688060.4759328,1404,1675,0
1717688060.937644,1405,1675,0
1717688061.387541,1406,1674,0
1717688061.8433878,1407,1674,0
