Timestamp,X,Y,Depth
1717688378.074313,1440,1737,0
1717688378.6221461,1440,1737,0
1717688379.084797,1439,1737,0
1717688379.533103,1438,1733,0
1717688379.972783,1437,1733,0
1717688380.4474409,1437,1732,0
1717688380.8896132,1436,1732,0
1717688381.327585,1435,1731,0
1717688381.773563,1434,1730,0
1717688382.211176,1434,1729,0
1717688382.657011,1432,1730,0
1717688383.096232,1429,1730,0
1717688383.5380108,1427,1731,0
1717688383.985972,1426,1730,0
1717688384.4237041,1426,1728,0
1717688384.867641,1426,1728,0
1717688385.301973,1427,1728,0
1717688385.750481,1429,1727,0
1717688386.185639,1431,1726,0
1717688386.629332,1432,1725,0
1717688387.074668,1433,1725,0
1717688387.5148082,1432,1724,0
1717688387.961935,1431,1723,0
1717688388.4756181,1429,1718,0
1717688388.919931,1428,1718,0
1717688389.354371,1426,1716,0
1717688389.801913,1424,1715,0
1717688390.3829389,1420,1713,0
1717688390.828605,1420,1710,0
1717688391.339672,1421,1708,0
1717688391.784359,1422,1706,0
1717688392.218768,1421,1705,0
1717688392.666147,1420,1704,0
1717688393.108076,1419,1703,0
1717688393.551465,1418,1702,0
1717688393.998722,1417,1701,0
1717688394.436016,1416,1701,0
1717688394.895382,1416,1699,0
1717688395.331841,1415,1699,0
1717688395.778233,1415,1697,0
1717688396.215198,1416,1695,0
1717688396.660303,1416,1695,0
1717688397.09826,1414,1695,0
1717688397.539766,1414,1694,0
1717688397.9869592,1413,1694,0
1717688398.42323,1412,1694,0
1717688398.868469,1413,1694,0
1717688399.303583,1415,1692,0
1717688399.74837,1417,1690,0
1717688400.183661,1419,1688,0
1717688400.602064,1419,1686,0
1717688401.023672,1418,1686,0
1717688401.4499898,1417,1686,0
1717688401.871202,1416,1686,0
1717688402.2936609,1414,1686,0
1717688402.7147882,1413,1686,0
1717688403.138046,1411,1683,0
1717688403.568552,1411,1682,0
1717688403.9938009,1411,1681,0
1717688404.4151602,1410,1679,0
1717688404.843828,1410,1679,0
1717688405.2697349,1409,1679,0
1717688405.71717,1408,1679,0
1717688406.152044,1406,1680,0
1717688406.5701718,1403,1680,0
1717688406.995048,1402,1680,0
1717688407.412456,1401,1680,0
1717688408.054774,1398,1679,0
1717688408.47396,1397,1679,0
1717688408.894785,1397,1679,0
1717688409.31327,1397,1678,0
1717688409.7324722,1397,1678,0
1717688410.154001,1396,1678,0
1717688410.5724869,1396,1678,0
1717688410.9953039,1397,1678,0
1717688411.4165251,1399,1677,0
1717688411.8359869,1401,1676,0
1717688412.255815,1401,1676,0
1717688412.67649,1401,1676,0
1717688413.097327,1401,1676,0
1717688413.517591,1401,1677,0
1717688413.9366531,1402,1676,0
1717688414.364369,1404,1675,0
1717688414.786279,1405,1675,0
1717688415.207005,1406,1674,0
1717688415.6330812,1407,1674,0
